"","pais","fecha","casos_acc","casos_abs","fall_acc","fall_abs","cases_per_100000","new_cases_per_100000","deaths_per_100000","new_deaths_per_100000"
"134","GER",2021-03-11,2532947,14356,72810,321,3045.6,17.3,87.5,0.4
"201","ITA",2021-03-11,3149017,25649,101184,373,5227,42.6,168,0.6
