"pais","casos","casos_acumulados","fallecidos","fallecidos_acumulados","fecha","bbdd","region"
"Albania",0,339,1,21,2020-04-07,"OMS","Global"
"Albania",23,362,0,21,2020-04-08,"OMS","Global"
"Albania",9,371,0,21,2020-04-09,"OMS","Global"
"Albania",7,378,1,22,2020-04-10,"OMS","Global"
"Albania",0,378,0,22,2020-04-11,"OMS","Global"
"Albania",30,408,0,22,2020-04-12,"OMS","Global"
"Albania",0,408,0,22,2020-04-13,"OMS","Global"
"Albania",29,437,0,22,2020-04-14,"OMS","Global"
"Albania",0,437,1,23,2020-04-15,"OMS","Global"
"Albania",19,456,1,24,2020-04-16,"OMS","Global"
"Albania",24,480,1,25,2020-04-17,"OMS","Global"
"Albania",30,510,0,25,2020-04-18,"OMS","Global"
"Albania",0,510,0,25,2020-04-19,"OMS","Global"
"Albania",14,524,0,25,2020-04-20,"OMS","Global"
"Albania",47,571,0,25,2020-04-21,"OMS","Global"
"Albania",25,596,0,25,2020-04-22,"OMS","Global"
"Albania",0,596,1,26,2020-04-23,"OMS","Global"
"Albania",44,640,0,26,2020-04-24,"OMS","Global"
"Albania",0,640,0,26,2020-04-25,"OMS","Global"
"Albania",34,674,0,26,2020-04-26,"OMS","Global"
"Albania",14,688,1,27,2020-04-27,"OMS","Global"
"Albania",10,698,0,27,2020-04-28,"OMS","Global"
"Albania",30,728,2,29,2020-04-29,"OMS","Global"
"Albania",7,735,1,30,2020-04-30,"OMS","Global"
"Albania",0,735,0,30,2020-05-01,"OMS","Global"
"Albania",16,751,0,30,2020-05-02,"OMS","Global"
"Albania",6,757,0,30,2020-05-03,"OMS","Global"
"Albania",8,765,0,30,2020-05-04,"OMS","Global"
"Albania",17,782,0,30,2020-05-05,"OMS","Global"
"Albania",12,794,0,30,2020-05-06,"OMS","Global"
"Albania",0,794,0,30,2020-05-07,"OMS","Global"
"Albania",18,812,0,30,2020-05-08,"OMS","Global"
"Albania",6,818,0,30,2020-05-09,"OMS","Global"
"Albania",12,830,0,30,2020-05-10,"OMS","Global"
"Albania",0,830,0,30,2020-05-11,"OMS","Global"
"Albania",4,834,0,30,2020-05-12,"OMS","Global"
"Albania",4,838,0,30,2020-05-13,"OMS","Global"
"Albania",4,842,0,30,2020-05-14,"OMS","Global"
"Albania",18,860,0,30,2020-05-15,"OMS","Global"
"Albania",35,895,0,30,2020-05-16,"OMS","Global"
"Albania",13,908,0,30,2020-05-17,"OMS","Global"
"Albania",2,910,0,30,2020-05-18,"OMS","Global"
"Albania",0,910,0,30,2020-05-19,"OMS","Global"
"Albania",16,926,0,30,2020-05-20,"OMS","Global"
"Albania",5,931,0,30,2020-05-21,"OMS","Global"
"Albania",0,931,0,30,2020-05-22,"OMS","Global"
"Albania",12,943,0,30,2020-05-23,"OMS","Global"
"Albania",8,951,1,31,2020-05-24,"OMS","Global"
"Albania",15,966,0,31,2020-05-25,"OMS","Global"
"Albania",25,991,1,32,2020-05-26,"OMS","Global"
"Albania",21,1012,0,32,2020-05-27,"OMS","Global"
"Albania",26,1038,0,32,2020-05-28,"OMS","Global"
"Albania",23,1061,0,32,2020-05-29,"OMS","Global"
"Albania",23,1084,0,32,2020-05-30,"OMS","Global"
"Albania",14,1098,0,32,2020-05-31,"OMS","Global"
"Albania",7,1105,0,32,2020-06-01,"OMS","Global"
"Albania",36,1141,0,32,2020-06-02,"OMS","Global"
"Albania",20,1161,1,33,2020-06-03,"OMS","Global"
"Albania",36,1197,0,33,2020-06-04,"OMS","Global"
"Albania",15,1212,0,33,2020-06-05,"OMS","Global"
"Albania",20,1232,1,34,2020-06-06,"OMS","Global"
"Albania",14,1246,0,34,2020-06-07,"OMS","Global"
"Albania",17,1263,0,34,2020-06-08,"OMS","Global"
"Albania",36,1299,0,34,2020-06-09,"OMS","Global"
"Albania",42,1341,0,34,2020-06-10,"OMS","Global"
"Albania",44,1385,0,34,2020-06-11,"OMS","Global"
"Albania",31,1416,2,36,2020-06-12,"OMS","Global"
"Albania",48,1464,0,36,2020-06-13,"OMS","Global"
"Albania",57,1521,0,36,2020-06-14,"OMS","Global"
"Albania",69,1590,0,36,2020-06-15,"OMS","Global"
"Albania",82,1672,1,37,2020-06-16,"OMS","Global"
"Albania",50,1722,1,38,2020-06-17,"OMS","Global"
"Albania",66,1788,1,39,2020-06-18,"OMS","Global"
"Albania",50,1838,3,42,2020-06-19,"OMS","Global"
"Albania",0,1838,0,42,2020-06-20,"OMS","Global"
"Albania",53,1891,1,43,2020-06-21,"OMS","Global"
"Albania",104,1995,1,44,2020-06-22,"OMS","Global"
"Albania",52,2047,1,45,2020-06-23,"OMS","Global"
"Albania",67,2114,2,47,2020-06-24,"OMS","Global"
"Albania",78,2192,1,48,2020-06-25,"OMS","Global"
"Albania",77,2269,3,51,2020-06-26,"OMS","Global"
"Albania",61,2330,2,53,2020-06-27,"OMS","Global"
"Albania",72,2402,2,55,2020-06-28,"OMS","Global"
"Albania",64,2466,3,58,2020-06-29,"OMS","Global"
"Albania",69,2535,4,62,2020-06-30,"OMS","Global"
"Albania",45,2580,3,65,2020-07-01,"OMS","Global"
"Albania",82,2662,4,69,2020-07-02,"OMS","Global"
"Albania",90,2752,3,72,2020-07-03,"OMS","Global"
"Albania",67,2819,2,74,2020-07-04,"OMS","Global"
"Albania",74,2893,2,76,2020-07-05,"OMS","Global"
"Albania",71,2964,3,79,2020-07-06,"OMS","Global"
"Albania",74,3038,2,81,2020-07-07,"OMS","Global"
"Albania",68,3106,2,83,2020-07-08,"OMS","Global"
"Albania",82,3188,0,83,2020-07-09,"OMS","Global"
"Albania",90,3278,2,85,2020-07-10,"OMS","Global"
"Albania",93,3371,4,89,2020-07-11,"OMS","Global"
"Albania",83,3454,4,93,2020-07-12,"OMS","Global"
"Albania",117,3571,2,95,2020-07-13,"OMS","Global"
"Albania",96,3667,2,97,2020-07-14,"OMS","Global"
"Albania",85,3752,4,101,2020-07-15,"OMS","Global"
"Albania",99,3851,3,104,2020-07-16,"OMS","Global"
"Albania",55,3906,3,107,2020-07-17,"OMS","Global"
"Albania",0,3906,0,107,2020-07-18,"OMS","Global"
"Albania",102,4008,4,111,2020-07-19,"OMS","Global"
"Albania",82,4090,1,112,2020-07-20,"OMS","Global"
"Albania",81,4171,1,113,2020-07-21,"OMS","Global"
"Albania",119,4290,4,117,2020-07-22,"OMS","Global"
"Albania",68,4358,3,120,2020-07-23,"OMS","Global"
"Albania",108,4466,3,123,2020-07-24,"OMS","Global"
"Albania",104,4570,5,128,2020-07-25,"OMS","Global"
"Albania",67,4637,6,134,2020-07-26,"OMS","Global"
"Albania",126,4763,4,138,2020-07-27,"OMS","Global"
"Albania",117,4880,6,144,2020-07-28,"OMS","Global"
"Albania",117,4997,4,148,2020-07-29,"OMS","Global"
"Albania",108,5105,2,150,2020-07-30,"OMS","Global"
"Albania",92,5197,4,154,2020-07-31,"OMS","Global"
"Albania",79,5276,3,157,2020-08-01,"OMS","Global"
"Albania",120,5396,4,161,2020-08-02,"OMS","Global"
"Albania",123,5519,5,166,2020-08-03,"OMS","Global"
"Albania",101,5620,6,172,2020-08-04,"OMS","Global"
"Albania",130,5750,4,176,2020-08-05,"OMS","Global"
"Albania",139,5889,6,182,2020-08-06,"OMS","Global"
"Albania",127,6016,6,188,2020-08-07,"OMS","Global"
"Albania",135,6151,1,189,2020-08-08,"OMS","Global"
"Albania",124,6275,4,193,2020-08-09,"OMS","Global"
"Albania",136,6411,6,199,2020-08-10,"OMS","Global"
"Albania",125,6536,1,200,2020-08-11,"OMS","Global"
"Albania",140,6676,5,205,2020-08-12,"OMS","Global"
"Albania",141,6817,3,208,2020-08-13,"OMS","Global"
"Albania",154,6971,5,213,2020-08-14,"OMS","Global"
"Albania",146,7117,6,219,2020-08-15,"OMS","Global"
"Albania",143,7260,6,225,2020-08-16,"OMS","Global"
"Albania",120,7380,3,228,2020-08-17,"OMS","Global"
"Albania",119,7499,2,230,2020-08-18,"OMS","Global"
"Albania",155,7654,2,232,2020-08-19,"OMS","Global"
"Albania",158,7812,2,234,2020-08-20,"OMS","Global"
"Albania",155,7967,4,238,2020-08-21,"OMS","Global"
"Albania",152,8119,2,240,2020-08-22,"OMS","Global"
"Albania",156,8275,5,245,2020-08-23,"OMS","Global"
"Albania",152,8427,5,250,2020-08-24,"OMS","Global"
"Albania",178,8605,4,254,2020-08-25,"OMS","Global"
"Albania",154,8759,5,259,2020-08-26,"OMS","Global"
"Albania",168,8927,4,263,2020-08-27,"OMS","Global"
"Albania",156,9083,3,266,2020-08-28,"OMS","Global"
"Albania",112,9195,5,271,2020-08-29,"OMS","Global"
"Albania",84,9279,4,275,2020-08-30,"OMS","Global"
"Albania",101,9380,5,280,2020-08-31,"OMS","Global"
"Albania",133,9513,4,284,2020-09-01,"OMS","Global"
"Albania",93,9606,6,290,2020-09-02,"OMS","Global"
"Albania",122,9728,6,296,2020-09-03,"OMS","Global"
"Albania",116,9844,5,301,2020-09-04,"OMS","Global"
"Albania",123,9967,5,306,2020-09-05,"OMS","Global"
"Albania",135,10102,6,312,2020-09-06,"OMS","Global"
"Albania",153,10255,4,316,2020-09-07,"OMS","Global"
"Albania",151,10406,3,319,2020-09-08,"OMS","Global"
"Albania",147,10553,2,321,2020-09-09,"OMS","Global"
"Albania",151,10704,1,322,2020-09-10,"OMS","Global"
"Albania",156,10860,2,324,2020-09-11,"OMS","Global"
"Albania",161,11021,3,327,2020-09-12,"OMS","Global"
"Albania",164,11185,3,330,2020-09-13,"OMS","Global"
"Albania",168,11353,4,334,2020-09-14,"OMS","Global"
"Albania",167,11520,4,338,2020-09-15,"OMS","Global"
"Albania",152,11672,2,340,2020-09-16,"OMS","Global"
"Albania",144,11816,3,343,2020-09-17,"OMS","Global"
"Albania",132,11948,4,347,2020-09-18,"OMS","Global"
"Albania",125,12073,6,353,2020-09-19,"OMS","Global"
"Albania",153,12226,5,358,2020-09-20,"OMS","Global"
"Albania",159,12385,4,362,2020-09-21,"OMS","Global"
"Albania",150,12535,2,364,2020-09-22,"OMS","Global"
"Albania",131,12666,3,367,2020-09-23,"OMS","Global"
"Albania",121,12787,3,370,2020-09-24,"OMS","Global"
"Albania",134,12921,0,370,2020-09-25,"OMS","Global"
"Albania",124,13045,3,373,2020-09-26,"OMS","Global"
"Albania",108,13153,2,375,2020-09-27,"OMS","Global"
"Albania",106,13259,2,377,2020-09-28,"OMS","Global"
"Albania",132,13391,3,380,2020-09-29,"OMS","Global"
"Albania",127,13518,4,384,2020-09-30,"OMS","Global"
"Albania",131,13649,3,387,2020-10-01,"OMS","Global"
"Albania",157,13806,1,388,2020-10-02,"OMS","Global"
"Albania",159,13965,1,389,2020-10-03,"OMS","Global"
"Albania",152,14117,3,392,2020-10-04,"OMS","Global"
"Albania",149,14266,4,396,2020-10-05,"OMS","Global"
"Albania",144,14410,4,400,2020-10-06,"OMS","Global"
"Albania",158,14568,3,403,2020-10-07,"OMS","Global"
"Albania",162,14730,4,407,2020-10-08,"OMS","Global"
"Albania",169,14899,4,411,2020-10-09,"OMS","Global"
"Albania",167,15066,2,413,2020-10-10,"OMS","Global"
"Albania",165,15231,3,416,2020-10-11,"OMS","Global"
"Albania",168,15399,4,420,2020-10-12,"OMS","Global"
"Albania",171,15570,4,424,2020-10-13,"OMS","Global"
"Albania",182,15752,5,429,2020-10-14,"OMS","Global"
"Albania",203,15955,5,434,2020-10-15,"OMS","Global"
"Albania",257,16212,5,439,2020-10-16,"OMS","Global"
"Albania",289,16501,4,443,2020-10-17,"OMS","Global"
"Albania",273,16774,5,448,2020-10-18,"OMS","Global"
"Albania",281,17055,3,451,2020-10-19,"OMS","Global"
"Albania",295,17350,3,454,2020-10-20,"OMS","Global"
"Albania",301,17651,4,458,2020-10-21,"OMS","Global"
"Albania",297,17948,4,462,2020-10-22,"OMS","Global"
"Albania",302,18250,3,465,2020-10-23,"OMS","Global"
"Albania",306,18556,4,469,2020-10-24,"OMS","Global"
"Albania",302,18858,4,473,2020-10-25,"OMS","Global"
"Albania",299,19157,4,477,2020-10-26,"OMS","Global"
"Albania",288,19445,3,480,2020-10-27,"OMS","Global"
"Albania",284,19729,7,487,2020-10-28,"OMS","Global"
"Albania",311,20040,6,493,2020-10-29,"OMS","Global"
"Albania",275,20315,6,499,2020-10-30,"OMS","Global"
"Albania",319,20634,3,502,2020-10-31,"OMS","Global"
"Albania",241,20875,7,509,2020-11-01,"OMS","Global"
"Albania",327,21202,9,518,2020-11-02,"OMS","Global"
"Albania",321,21523,9,527,2020-11-03,"OMS","Global"
"Albania",381,21904,5,532,2020-11-04,"OMS","Global"
"Albania",396,22300,4,536,2020-11-05,"OMS","Global"
"Albania",421,22721,7,543,2020-11-06,"OMS","Global"
"Albania",489,23210,6,549,2020-11-07,"OMS","Global"
"Albania",495,23705,8,557,2020-11-08,"OMS","Global"
"Albania",501,24206,2,559,2020-11-09,"OMS","Global"
"Albania",525,24731,12,571,2020-11-10,"OMS","Global"
"Albania",563,25294,8,579,2020-11-11,"OMS","Global"
"Albania",507,25801,11,590,2020-11-12,"OMS","Global"
"Albania",410,26211,8,598,2020-11-13,"OMS","Global"
"Albania",490,26701,7,605,2020-11-14,"OMS","Global"
"Albania",532,27233,7,612,2020-11-15,"OMS","Global"
"Albania",597,27830,11,623,2020-11-16,"OMS","Global"
"Albania",602,28432,8,631,2020-11-17,"OMS","Global"
"Albania",694,29126,6,637,2020-11-18,"OMS","Global"
